それ,"that, that one"
みる,"see, look at"
えん,circle
おおい,lots of
うち,"house, home"
これ,"this, this one"
あたらしい,new
わたし,I
しごと,"work, job"
はじめる,"begin, start"
なる,become
する,"do, make"
でる,"go out, leave"
つかう,use
ところ,place
おもう,think
もつ,"have, possess"
じかん,"time, hour"
ことし,this year
しる,know
つくる,"make, create"
おなじ,"same, identical"
いま,now
つづく,"continue, follow"
くに,country
まだ,"yet, more"
やる,do
いう,"say, tell"
すくない,"few, little"
いく,go
きめる,"decide, agree upon"
たかい,"high, tall"
かんがえる,"think, consider"
かんじる,"feel, sense"
こども,"child, kid"
そう,"in such manner, that way"
だいがく,"university, college"
もう,"already, yet"
ちかく,"near, close to"
いれる,put in
がくせい,student
ごご,"afternoon, p.m."
ながい,long
ほん,"book, volume"
よく,often
かのじょ,"she, one's girlfriend"
きく,"hear, ask"
どう,"how, what"
いきる,live (one's life)
ことば,"word, language"
かお,face
どこ,where
ひとつ,one (thing)
あげる,give
こう,"like this, this kind of"
がっこう,school
くれる,be given
おきる,"get up, get out of bed"
はる,spring
ごぜん,"morning, a.m."
かう,buy
べつ,"another, different"
おわる,"finish, end"
わかい,young
かなり,"fairly, rather"
おく,"put, leave"
すむ,"live, reside"
もどる,"return, turn back"
はたらく,work
あと,after
せんせい,teacher
たつ,"stand, rise"
き,"spirit, temperament"
よぶ,"call, name"
もっと,more
かえる,"return, go back"
きもち,"feeling, sensation"
とぶ,fly
くるま,"car, automobile"
かえる,change
ひろい,"wide, big"
わかる,understand
かず,number
ちかい,"near, soon"
そこ,there
はしる,run
うる,sell
あさ,morning
おしえる,"teach, tell"
あるく,"walk, go on foot"
すぐ,"at once, soon"
あう,meet
へや,room
おこる,happen
あき,"autumn, fall"
むずかしい,difficult
おくる,send
しぬ,die
のる,"ride, take"
やすい,"inexpensive, cheap"
かく,write
はなす,"speak, tell"
あたま,head
からだ,"body, health"
ここ,here
まつ,"wait, wait for"
ひくい,"low, short"
もらう,receive
たべる,eat
はやい,early
あに,older brother
なまえ,name
おっと,husband
いち,one
けっこん,marriage
おや,parent
ふるい,old
うつくしい,beautiful
あし,"leg, foot"
つぎ,next
おこす,wake up
みせる,show
むすめ,"daughter, girl"
とても,very
すこし,"a bit, a little while"
しつもん,question
たのしむ,enjoy
いろ,color
みんな,"all, everybody"
とる,"take, get"
べんきょう,study
できる,"can do, be good at"
みじかい,"short, brief"
おちる,"fall, sink"
むすこ,son
しろい,"white, blank"
だれ,"who, whom"
いつも,always
ひこうき,airplane
かつ,win
びょうき,illness
ふゆ,winter
とし,"year, age"
おもい,heavy
むね,chest
よむ,read
はらう,pay
かるい,"light, light weight"
みつける,find
いつ,when
ともだち,"friend, companion"
わすれる,"forget, leave behind"
さけ,"alcoholic drink, Japanese rice wine"
どちら,which
あね,older sister
おぼえる,"memorize, learn"
せまい,"narrow, restricted"
すき,"favorite, liked"
たてる,"build, erect"
どれ,"what, which"
あかい,red
きょう,today
きる,"wear, put on"
わらう,"laugh, smile"
いちばん,most
じゅぎょう,"class, lesson"
しゅう,week
かんじ,"character, kanji"
じてんしゃ,bicycle
でんしゃ,train
さがす,"search for, look for"
かみ,paper
うたう,sing
おそい,"slow, late"
くび,neck
はやい,fast
いっしょに,"together, at the same time"
にっき,diary
こんげつ,this month
あそぶ,play
とおい,"far, distant"
よわい,weak
みみ,"ear, hearing"
すわる,"sit, sit down"
みぎ,right
あびる,take (a shower)
かた,shoulder
のむ,drink
ねる,"sleep, go to sleep"
けす,"switch off, turn off"
げんき,"healthy, energetic"
まける,lose
ぜんぶ,"all, wholly"
きょねん,last year
ひく,"draw, pull"
としょかん,library
あげる,"raise, improve"
みどり,"green, foliage"
うで,arm
ドア,door
とじる,close
とき,time
こめ,rice (grain)
きる,cut
せん,line
きまる,be decided
たのしい,"fun, enjoyable"
ふく,clothes
うしろ,"back, behind"
うれしい,"happy, glad"
こし,"hip, lower back"
にちようび,Sunday
あける,"open, unlock"
ひる,"daytime, midday"
おかあさん,mother
りゅうがくせい,student studying abroad
だいがくせい,university student
おわり,"end, conclusion"
せ,"height, stature"
てつだう,"help, assist"
はな,nose
おきる,occur
あつい,"hot (things, touch)"
のせる,"place, put on"
かなしい,sad
あいする,"love, care for"
しゃべる,"chat, talk"
ちかく,"vicinity, nearby"
あまい,sweet
テーブル,table
たべもの,food
はじまる,begin
ゲーム,game
じゅう,ten
てんき,weather
あつい,"hot, warm (temperature of the air)"
ふとい,"thick, fat"
ばん,evening (usually from sunset to bedtime)
どようび,Saturday
かみ,"god, spirit"
いたい,painful
おとうさん,father
たぶん,"probably, perhaps"
とけい,"clock, watch"
とまる,stay overnight
どうして,why
かける,"hang, put on"
まがる,turn
おなか,stomach
ミーティング,meeting
しめる,"shut, close"
きらい,dislike
きんようび,Friday
いる,"need, require"
ない,to not be
きいろい,yellow
かぜ,cold (illness)
やさしい,"gentle, kind"
はれる,"be sunny, clear up"
だいすき,love
ちゃいろ,light brown
きたない,dirty
すく,be empty
のぼる,go up
ごはん,"cooked rice, meal"
にち,day
かみのけ,hair
つける,switch on
げつようび,Monday
はいる,enter
かたかな,katakana
こんしゅう,this week
ひらく,open
みず,water
あれ,that over there
に,two
しまる,"be shut, be closed"
しめる,"tighten, fasten"
まずい,"bad-tasting, bad"
