それ,"that, that one"
見る,"see, look at"
円,circle
多い,lots of
家,"house, home"
これ,"this, this one"
新しい,new
私,I
仕事,"work, job"
始める,"begin, start"
なる,become
する,"do, make"
出る,"go out, leave"
使う,use
ところ,place
思う,think
持つ,"have, possess"
時間,"time, hour"
今年,this year
知る,know
作る,"make, create"
同じ,"same, identical"
今,now
続く,"continue, follow"
国,country
未だ,"yet, more"
やる,do
言う,"say, tell"
少ない,"few, little"
行く,go
決める,"decide, agree upon"
高い,"high, tall"
考える,"think, consider"
感じる,"feel, sense"
子供,"child, kid"
そう,"in such manner, that way"
大学,"university, college"
もう,"already, yet"
近く,"near, close to"
入れる,put in
学生,student
午後,"afternoon, p.m."
長い,long
本,"book, volume"
よく,often
彼女,"she, one's girlfriend"
聞く,"hear, ask"
どう,"how, what"
生きる,live (one's life)
言葉,"word, language"
顔,face
どこ,where
一つ,one (thing)
あげる,give
こう,"like this, this kind of"
学校,school
くれる,be given
起きる,"get up, get out of bed"
春,spring
午前,"morning, a.m."
買う,buy
別,"another, different"
終わる,"finish, end"
若い,young
かなり,"fairly, rather"
置く,"put, leave"
住む,"live, reside"
戻る,"return, turn back"
働く,work
後,after
先生,teacher
立つ,"stand, rise"
気,"spirit, temperament"
呼ぶ,"call, name"
もっと,more
帰る,"return, go back"
気持ち,"feeling, sensation"
飛ぶ,fly
車,"car, automobile"
変える,change
広い,"wide, big"
分かる,understand
数,number
近い,"near, soon"
そこ,there
走る,run
売る,sell
朝,morning
教える,"teach, tell"
歩く,"walk, go on foot"
直ぐ,"at once, soon"
会う,meet
部屋,room
起こる,happen
秋,"autumn, fall"
難しい,difficult
送る,send
死ぬ,die
乗る,"ride, take"
安い,"inexpensive, cheap"
書く,write
話す,"speak, tell"
頭,head
体,"body, health"
ここ,here
待つ,"wait, wait for"
低い,"low, short"
もらう,receive
食べる,eat
早い,early
兄,older brother
名前,name
夫,husband
一,one
結婚,marriage
親,parent
古い,old
美しい,beautiful
足,"leg, foot"
次,next
起こす,wake up
見せる,show
娘,"daughter, girl"
とても,very
少し,"a bit, a little while"
質問,question
楽しむ,enjoy
色,color
みんな,"all, everybody"
取る,"take, get"
勉強,study
出来る,"can do, be good at"
短い,"short, brief"
落ちる,"fall, sink"
息子,son
白い,"white, blank"
誰,"who, whom"
いつも,always
飛行機,airplane
勝つ,win
病気,illness
冬,winter
年,"year, age"
重い,heavy
胸,chest
読む,read
払う,pay
軽い,"light, light weight"
見つける,find
いつ,when
友達,"friend, companion"
忘れる,"forget, leave behind"
酒,"alcoholic drink, Japanese rice wine"
どちら,which
姉,older sister
覚える,"memorize, learn"
狭い,"narrow, restricted"
好き,"favorite, liked"
建てる,"build, erect"
どれ,"what, which"
赤い,red
今日,today
着る,"wear, put on"
笑う,"laugh, smile"
一番,most
授業,"class, lesson"
週,week
漢字,"character, kanji"
自転車,bicycle
電車,train
探す,"search for, look for"
紙,paper
歌う,sing
遅い,"slow, late"
首,neck
速い,fast
一緒に,"together, at the same time"
日記,diary
今月,this month
遊ぶ,play
遠い,"far, distant"
弱い,weak
耳,"ear, hearing"
座る,"sit, sit down"
右,right
浴びる,take (a shower)
肩,shoulder
飲む,drink
寝る,"sleep, go to sleep"
消す,"switch off, turn off"
元気,"healthy, energetic"
負ける,lose
全部,"all, wholly"
去年,last year
引く,"draw, pull"
図書館,library
上げる,"raise, improve"
緑,"green, foliage"
腕,arm
ドア,door
閉じる,close
時,time
米,rice (grain)
切る,cut
線,line
決まる,be decided
楽しい,"fun, enjoyable"
服,clothes
後ろ,"back, behind"
嬉しい,"happy, glad"
腰,"hip, lower back"
日曜日,Sunday
開ける,"open, unlock"
昼,"daytime, midday"
お母さん,mother
留学生,student studying abroad
大学生,university student
終わり,"end, conclusion"
背,"height, stature"
手伝う,"help, assist"
鼻,nose
起きる,occur
熱い,"hot (things, touch)"
載せる,"place, put on"
悲しい,sad
愛する,"love, care for"
しゃべる,"chat, talk"
近く,"vicinity, nearby"
甘い,sweet
テーブル,table
食べ物,food
始まる,begin
ゲーム,game
十,ten
天気,weather
暑い,"hot, warm (temperature of the air)"
太い,"thick, fat"
晩,evening (usually from sunset to bedtime)
土曜日,Saturday
神,"god, spirit"
痛い,painful
お父さん,father
多分,"probably, perhaps"
時計,"clock, watch"
泊まる,stay overnight
どうして,why
掛ける,"hang, put on"
曲がる,turn
おなか,stomach
ミーティング,meeting
閉める,"shut, close"
嫌い,dislike
金曜日,Friday
要る,"need, require"
無い,to not be
黄色い,yellow
風邪,cold (illness)
優しい,"gentle, kind"
晴れる,"be sunny, clear up"
大好き,love
茶色,light brown
汚い,dirty
空く,be empty
上る,go up
ご飯,"cooked rice, meal"
日,day
髪の毛,hair
つける,switch on
月曜日,Monday
入る,enter
片仮名,katakana
今週,this week
開く,open
水,water
あれ,that over there
二,two
閉まる,"be shut, be closed"
締める,"tighten, fasten"
まずい,"bad-tasting, bad"
平仮名,hiragana
曇る,become cloudy
触る,"touch, feel"
駄目,no good
書き直す,rewrite
飲み物,"beverage, drink"
木曜日,Thursday
曜日,day of the week
そば,"side, vicinity"
こっち,here
火曜日,Tuesday
渇く,be thirsty
三,three
水曜日,Wednesday
二つ,two (things)
今晩,"this evening, tonight"
千,thousand
六つ,six (things)
六日,"six days, 6th of the month"
お姉さん,older sister
直る,"be repaired, return to normal"
易しい,"easy, simple"
辺,"vicinity, part"
よう,"way, like, kind"
お兄さん,older brother
辛い,"spicy, salty"
八,eight
三日,"three days, 3rd of the month"
あそこ,over there
来る,come
前,"front, before"
五日,"five days, 5th of the month"
一杯,full
九,nine
酸っぱい,sour
違う,"differ, be wrong"
細い,"thin, slender, narrow"
三つ,three (things)
八日,"eight days, 8th of the month"
高校生,high school student
上手,"good, skilled"
強い,strong
七,seven
二十日,"20 days, 20th of the month"
左,left
二日,"two days, 2nd of the month"
四つ,four (things)
暖かい,warm
有る,"exist, possess"
良い,good
五つ,five (things)
妹,younger sister
上,"up, above"
動く,move
駅,railway station
おいしい,tasty
大きい,big
弟,younger brother
男,"man, male"
大人,adult
お願い,favor
女,"woman, girl"
金,money
彼,"he, one's boyfriend"
昨日,yesterday
奇麗,beautiful
口,mouth
五,five
九日,"nine days, 9th of the month"
九つ,nine (things)
答える,"answer, reply"
先,"ahead, first"
寒い,cold (temperature of the air)
四,four
下,"under, below"
大丈夫,"alright, OK"
出す,take out
小さい,small
父,(speaker's)father
一日,1st of the month
月,moon
妻,wife
冷たい,"cold (things, touch)"
手,hand
十日,"ten days, 10th of the month"
時々,sometimes
夏,summer
七つ,seven (things)
何,"what, which"
七日,"seven days, 7th of the month"
母,(speaker's)mother
人,person
一人,"one, one person"
百,hundred
方,"direction, side"
他,other
僕,I (young male)
欲しい,"want, desire"
万,ten thousand
見える,be visible
店,"shop, store"
道,"road, street"
目,eye
八つ,eight (things)
止める,"stop, give up, abolish"
四日,"four days, 4th of the month"
夜,night (from sunset to sunrise)
四,four
来年,next year
六,six
悪い,bad
